"","X","User_id","Gender","Text","Label"
"56",56,815719281,"male","In the last 20 minutes that Wednesday fan has tweeted about us 3 times  no  not obsessed  not even a little bit",3
"57",57,815719282,"female","Once it is complete  it will lift off and attempt to connect with the alpha point of the rift we are observing   1 2",2
"58",58,815719283,"brand","Gala Bingo clubs bought for   241m  The UK s largest High Street bingo operator  Gala  is being taken over by    https t coWoQyHfIm61",1
"59",59,815719284,"male","Triggered Email  The Killer Conversion App https t coobCkhxkOm7",3
"60",60,815719285,"brand","Gala Bingo clubs bought for   241m  The UK s largest High Street bingo operator  Gala  is being taken over by    https t cohXowiGMmi4",1
"61",61,815719286,"brand","Do you know who are awesome  My 4 new followers in the last week  Growing with https t coiN3hLNli3g",1
"62",62,815719287,"female","camerons side of the bed smells SO bad",2
"63",63,815719288,"female","are u going to the 1 30 one",2
"64",64,815719289,"male","Boii make the wafflw link to the reference then the word count should clear up lol",3
"65",65,815719290,"female","https t conRN2mGLd2E Am I the only one who loves the part with Merlin and Regina s face   D  OUAT",2
"66",66,815719291,"male","always remember  never forget you re the best and the greatest in the world just being you always you till the end of time YOU",3
"67",67,815719292,"male","The POLITICS of evidence   results in international development  https t coT7N2c2TTBf   Looks great  ht",3
"68",68,815719293,"female","Please God  let me get a house that has a fireplace in the bedroom   I have such great ideas for such a room",2
"69",69,815719294,"female","that s the 8  they have hidden   UMPH  https t coOnebBSAG93",2
"70",70,815719295,"female","that s nice for this time of the year  tomorrow they say it should be around 20",2
"71",71,815719296,"male","Surgical enhancements are for a different part of the body  and  I was kidding",3
"72",72,815719297,"brand","The CTAS Pro High colorway inspired by sageelsesser available now at both  MIAskateshop locations    https t coyGz0K7nqso",1
"73",73,815719298,"male","I swear if she touches me one more time           she pisses me off  It s stupid cause my friends fall for the trick as well",3
"74",74,815719299,"male","She is not beautiful m  and I m talking beyond the superficial beauty",3
"75",75,815719300,"brand","The Wildcats pay a visit to Fain elementary school  https t coXjx8GNyRhJ",1
"76",76,815719301,"female","bad day in the office   but nice to catch up with  so wish we had more time to catch up x",2
"77",77,815719302,"brand","New Study Says Bacon Causes Cancer  But the Internet Refuses to Believe It https t coSNgYZFCG4b",1
"78",78,815719303,"female","James Walter invented the bolt action rifle  liquor  sexual intercourse  and football   in that order",2
"79",79,815719304,"male","Say He is the one  The eternal  He doesn t have kids nor did anyone have Him  There is nothing like The One",3
"80",80,815719305,"male","Now I Changed  I m not the same Man I once Yesterday it s for the better watch  amp  take notes",3
"81",81,815719306,"female","Amazing  See Igbo Village In The United States Of  America https t coZ8A95hAQpE https t coqdQ6HnE735",2
"82",82,815719307,"female","alarm wont work as you can t time the stops in Leeds  Too much traffic ect  A 20min bus ride can take 50 or 12 mins  ya know",2
"83",83,815719308,"brand","Join the The Creative Group team  See our latest  BusinessMgmt  job opening here  https t coX2YVPuRDy4  TheCreativeGroup  NEWYORK  NY",1
"84",84,815719309,"female","Akinator  the Genie App  just guessed that I was thinking of  Katniss Everdeen s Daughter  what  how",2
"85",85,815719310,"brand","30 Teams in 30 Days  NBA Season Preview   2  Cleveland Cavaliers   an Op Ed About the Legacy of LeBron James https t codYTW2sr9Gp",1
"86",86,815719311,"male","I am trying to unbrick my Kindle fire  with a red screen  I followed your youtube video  and am using the unbrick tool",3
"87",87,815719312,"male","If you say someone like Wale or Meek or Wiz has gotten big in the past five years you re a moron  They were big in the mixtape game",3
"88",88,815719313,"female","Move Of The Week Double Leg Stretch       https t cokxkCEFUxQB     https t con7PtOHGaPQ",2
"89",89,815719314,"brand","Goodword   The Honey Hive Gallery https t cohtzxiHKODA",1
"90",90,815719315,"brand","THE FIRST FANCAM OF THAT AMAZING INTRO FUCK https t coVAcnnIXgIA",1
"91",91,815719316,"female","You are supporting the Father of the Sequester for Speaker  Cut vet pensions  military  medicare  Shame on you",2
"92",92,815719317,"brand","biz Import Veteran  The 6 tricks every importer must know in order to avoid getting ripped off  https t cog2HVXx9Jf0",1
"94",94,815719319,"brand","No Water To Frisco Subdivision  A contractor working in the area cut a water line and crews are now    https t comvsXieKa21  dallas  news",1
"95",95,815719320,"male","Reimagining the  webdesign process by    https t coVmb0OZU67e https t cohFlWR8tfOl",3
"96",96,815719321,"brand","The accumulation of rake marks SNIP  Blackfish Morgan  looks like she came close to losing her left eye   FreeMorgan https t coNmaiGtIocI",1
"97",97,815719322,"male","Clemson only need to stack the line against FSU then they may not even score",3
"98",98,815719323,"female","I can see now that there s no way I m going to resist this Shattered Empire business  The Noto cover alone  https t conLmIC5xDmp",2
"99",99,815719324,"brand","If you have some time  would be great if you could fill out the attached survey  Could provide some real insights  https t coZ3w902w0wh",1
"100",100,815719325,"male","chris chan has the fame",3
"101",101,815719326,"female","The accuracy though lol  https t cofrFforEeLC",2
"102",102,815719327,"male","Im weakkkkk                     Tbh thats the only way to shut down girls who flex",3
"103",103,815719328,"brand","We got to see inside the  OARDC  greenhouses in the daytime  too   AgCon  OSU  https t cowb6BgiHc3g",1
"104",104,815719329,"female","Thanks to the  ACA more adults are eligible for  Medicaid in  Illinois  amp  able to apply online     https t cocfwlLqv4K9",2
"105",105,815719330,"female","IBMSocialBiz  In the future  there will be a narrowing of the gap of people s abilities to use tools proficiently  JenniferMcClure  H2HChat",2
"106",106,815719331,"male","Chris Got On The Black Toe 1s",3
"107",107,815719332,"female","The day after his wedding anniversary    Sucks to suck",2
"108",108,815719333,"brand","Here s some of the equipment we use to run our show  https t cox6cCJG8SeX https t coA6N8HU1tlJ",1
"109",109,815719334,"female","When you re 20 mins early to an advising appointment but the bitch before you goes over by 10 mins",2
"110",111,815719336,"female","https t coEROGWToizO Sissy  s wife loved the l Choosing Lingerie     A Very Important Role For Sissy https t cosRf506OsHy",2
"111",112,815719337,"male","I knew a guy who was in the military who used it because it doesn t show up on drug tests",3
"112",113,815719338,"male","My mom listening to  Hello  what s happening to the world",3
"113",114,815719339,"female","If ion work one job   I work the other",2
"114",115,815719340,"female","Lrt me at work allllllllllllllll the time",2
"117",118,815719343,"female","Flexible Diet Plan  Revealed for the first time  secret methods for losing weight  without having to give up    https t coyGQYYVCYKi",2
"118",119,815719344,"male","Total loss of respect for the little twat https t coeQstpYJEck",3
"119",120,815719345,"male","he needs his own intro for when you pick up the phone  CLIFFORD ELLIS  THE GREATEST BROCKER IN THE WORLD  lmfao",3
"120",121,815719346,"male","Fortune favors the funny in Guatemala election  https t coE1Qa16AweK https t coc8nvJn3VaN",3
"121",122,815719347,"brand","Women  s soccer extends streak  stays atop conference  On a rainy night in Seattle  the No  4 Stanford women  s    https t co7WvyNZsgqa",1
"122",123,815719348,"male","Actually the UC announcement seems like it could be related to that",3
"123",124,815719349,"brand","On Air   Back To The Future   Alan Silvestri    BackToTheFuture on https t corbWJRByxt1",1
"124",125,815719350,"female","Would    The Affair   Be Easier To Watch If The Kids Weren  t Such Brats   Spoilers   The Showtime series The Affa    https t coo6jpVaUFdz",2
"125",126,815719351,"female","NBD  This Comet Is Spewing Gallons of Wine In Space  Scientists have discovered that the comet Lovejoy is spew    https t co42Fa4wwoA1",2
"126",127,815719352,"brand","The Single Girls Handbook https t co2HyF2pFcID",1
"127",128,815719353,"male","Stats for the day have arrived  1 new unfollower  Stats via https t coVuMDKp70A7",3
"128",129,815719354,"female","VivienLeigh Gone With The Wind Clark Gable Vivien Leigh  Photo https t coyVO2B34jrw  Film  Actress",2
"129",130,815719355,"brand","newark Hornell Football  Bringing back the tradition https t coRed8ZEivVs",1
"130",131,815719356,"female","good seeing you tonight       enjoy the film xx",2
"131",132,815719357,"male","Kaito s song is about chasing after an idealized version of himself  but in the real world  he s alone   starmyu https t coTvLbxrYMRK",3
"132",133,815719358,"female","Photo  The Fellowship of the Ring  Book One in the Lord of the Rings     https t co4A1v5WdDd4 https t coHyosq3fr5e",2
"133",134,815719359,"female","I kept telling myself the temptations would let me in  And they did",2
"134",135,815719360,"male","Photo  Snow Queen   Vlad Barbe   Kids  amp  Family  716822518  The Snow Queen is a fairy tale by Hans Christian    https t coCC4qqNHvjY",3
"135",136,815719361,"female","Fool me three times  fuck the peace signs Load the chopper  let it rain on you",2
"136",137,815719362,"brand","EdmHoneys Amazon celebrates new vinyl store in unveiling the   13 Day    https t coDgRUeR3Ap5  EDM   Followback https t cor6NsubvNNr",1
"137",139,815719364,"brand","business Gala Bingo clubs bought for   241m  The UK s largest High Street bingo operator  Gala  is being taken over    https t coUZ1WZEqeZg",1
"138",140,815719365,"female","The world esp EqAnon island needs more people like         amp    AmazingLadies",2
"139",141,815719366,"male","don t bother with KiwiSaver until the kickstart fund is restored",3
"140",142,815719367,"female","No matter the results  words can t express how proud I am of   All the dedication these new  amp  old members gave left me speechless",2
"141",143,815719368,"female","Hello from the    Nah",2
"142",144,815719369,"male","Came into the game when white rappers weren t a cliche    spittin  that truth",3
"143",145,815719370,"brand","Dirtiest Players in the NFL https t coSdyNBeG69e",1
"145",147,815719372,"brand","This Wed The  Talks Cities of  Migration with  TRSM   Get your tickets here  https t cokqAzWIMo8S",1
"146",148,815719373,"female","yep just had to wait until the next day",2
"147",149,815719374,"brand","For the first time  the   is recommending that pediatricians screen all children for food insecurity https t co6ETENmYVAo",1
"148",150,815719375,"female","Seen on the Scene  Spotted  RavenSymone out and about earlier this week  r p    https t cosjNH93a0L3",2
"149",151,815719376,"brand","FFS  i don t know if im going to love Simple Plan s new album  like the songs iv heard from it from it so far are meh and im like o sht noo",1
"150",152,815719377,"female","Too much swag the Acoustic version  you are too cool  kept silent makes me laughter has the end with vibratos lol",2
"151",153,815719378,"female","Listen to  discussing his exclusive reporting on potentially fatal flaws in  F35 ejector seat https t corZ1BEKbY6P",2
"152",154,815719379,"brand","https t coSZAdbkG6Y9  gt  gt  Rangers Blue Line  Antti Raanta calls in and looking at the 6 2 2 Rangers https t codXa3JypzQZ",1
"153",155,815719380,"female","Yes  Would love to throw in the hat in for a couple local folks over at   Happy to arrange a meet",2
"154",156,815719381,"brand","hes the only one we re missing",1
"155",157,815719382,"male","Coffee Taster s Flavor Wheel from the SCAA  coffee https t coGOLukszOLU https t coHJHczkaiQy",3
"156",158,815719383,"male","We have a chance for the first time in decades to elect someone who will not be owned by lobby groups or big corporations  Or Saudi Arabia",3
"157",159,815719384,"brand","The Walking Dead 6  04 Promo Season 6 Episode 4 Promo https t condyE1XzvDu  HotNews  geekinitiative",1
"158",160,815719385,"female","Finally realized I ll never get the answers I want",2
"159",161,815719386,"brand","Gala Bingo clubs bought for   241m  The UK s largest High Street bingo operator  Gala  is being taken over by    https t coX93A410ODN",1
"160",162,815719387,"male","I saw and met  five months ago today   I m forever grateful for the opportunity I was given          https t covLrCSnqN2I",3
"161",163,815719388,"female","Starbucks Mobile Ordering Comes to the UK   Mobile Marketing https t coYeCugANJLy  emarketingmkt412",2
"162",164,815719389,"male","The little things you do always get me heated",3
"164",166,815719391,"male","Pennsylvania Believing in yourself is the first secret to success  https t co9sIPL3VcxE",3
"165",167,815719392,"male","Corporate welfare is the worst  Dark funds for the Military industrial complex is another    All these posts with    https t coawmdynzFxZ",3
"166",168,815719393,"male","Rapper Tyga to appear on the next season of KUWTK and he Will Get  25k Per Appearance   See more  gt  gt     https t cob1Rw1LkjHG",3
"167",169,815719394,"brand","Next Xbox One Backwards Compatible Game Revealed  This 2008 racing game is the latest to join the lineup  https t coH4QgKxg0sU",1
"168",170,815719395,"brand","The lies  amp  distortions which led 2 today s  GOP fringe political psychosis goes back to the 1979  Reagan Campaign",1
"169",171,815719396,"brand","amazingstoke at home   part of me hopes for the draw and replay  https t coF1z1JhoF40",1
"170",172,815719397,"brand","The one question that made me a millionaire     by  via  https t coyR9HGtbwI5 https t co3Zyc0Hp3Dz",1
"171",173,815719398,"female","Earth teach me quiet         as the grasses are still with new light",2
"172",174,815719399,"brand","The  Horse Screamer  has some great style in her latest video  Get your KRJ shirts on the site https t coHruprjSa0u",1
"173",175,815719400,"brand","Dictators and their favorite drinks https t cod2WZOc7Yzq",1
"174",176,815719401,"female","I m not for the fake friends  good day",2
"175",177,815719402,"brand","The Fully Expected Yet Oddly Reassuring Return of Tanner Fischbach   I think the voters of Cuyahoga County are    https t coVMek8FHdb6",1
"176",178,815719403,"male","Nothing like the midwest  Had a great weekend at The Ruffin s wedding  Im glad we all came together    https t coDrK2UkEKxV",3
"177",179,815719404,"female","Take me back to the time when your clothes took up my drawers",2
"178",180,815719405,"male","Mentally ill woman with her two pink dyed poodles threatened to shoot someone  followed by the throwing 12",3
"179",181,815719406,"female","i just face timed him like 5 mins ago and they re   the airport in Dallas  getting a plane in 2 hours  They re okay",2
"180",182,815719407,"brand","biz Holiday Candy Course  Learn the art of gourmet candy making and make gourmet chocolates in your own kitchen  https t corvklKD2m7h",1
"181",183,815719408,"female","luv them Photo https t coTeMkNK17aO for the best busty boobs click here or on image bustyfriends bignaturals  b    https t coRSbkiea90U",2
"182",184,815719409,"brand","Tonight we ll stop by 300 randomly selected homes for a short survey  The survey is required for a grant    https t coYhJrPLiCC6",1
"183",185,815719410,"female","The woes             https t coCXWHx6DTgW",2
"184",186,815719411,"brand","ISIS Launches BIZARRE New Weapon In War Against The Infidel     FLOATING CONDOM BOMBS  Video    BB4SP https t coe6htn17yFN",1
"185",187,815719412,"female","ISIS Launches BIZARRE New Weapon In War Against The Infidel     FLOATING CONDOM BOMBS  Video    BB4SP https t coc4nA4Cc4dK",2
"186",188,815719413,"female","Too excited to spend my Halloween night in the PIT with   amp",2
"187",189,815719414,"male","At Steidl  amp  Steinberg  we understand that owing  money to the  IRS or the state is scary  We can help  https t coriC1oHcD1A",3
"188",190,815719415,"female","1 amazing follower in the last week and there will be more tomorrow  Growing with https t coMIjN2Phyly",2
"189",191,815719416,"brand","Lessons for Muslim Husbands   The love of the Prophet  SAWS   https t cozyCDjCmRZm",1
"190",192,815719417,"brand","ISIS Launches BIZARRE New Weapon In War Against The Infidel     FLOATING CONDOM BOMBS  Video    BB4SP https t copp68Wzh8dt",1
"191",193,815719418,"male","Drugs  greed  and kidnapping  plague Dani and Liz   Bluewater Ganja  9th of the Bluewater Thrillers  IAN1  sailing https t co60BrKidlAP",3
"192",194,815719419,"male","ISIS Launches BIZARRE New Weapon In War Against The Infidel     FLOATING CONDOM BOMBS  Video    BB4SP https t coffjxmiCEt7",3
"193",195,815719420,"brand","Penn Jillette  s atheist fundraiser  Bacon  skepticism and Trump on the side  Gaining    https t co6heNyHydAd  Vegas https t coUg8Z228z2X",1
"194",196,815719421,"male","MY PHONE AND IPAD ARE GOING OUT THE WINDOW IN A MINUTE OMG I CANT BREATHE JOE FAVED CASPAR SAID THAT AND I MET JOE",3
"195",197,815719422,"male","the sky is making weird ass noises",3
"197",199,815719424,"male","MT   The longest running play in America is set to open in NYC for the 1st time https t co65oIQVi9M8 https t co6WIFY90anM",3
"198",200,815719425,"female","VoteOneDirection   AMAs Artist Of The Year  https t copnDV9MyCVY",2
"199",201,815719426,"brand","Gala Bingo clubs bought for   241m  The UK s largest High Street bingo operator  Gala  is being taken over by    https t co0MJDQuiRIc",1
"201",203,815719428,"brand","Gala Bingo clubs bought for   241m  The UK s largest High Street bingo operator  Gala  is being taken over by    https t coWpUTClVr7U",1
"202",204,815719429,"female","Alysha is half mom and half worlds greatest friend of the group",2
"203",205,815719430,"female","The creeps again   https t co8ZTKJXOn8v",2
"204",206,815719431,"brand","You frightened me when you hissed like a cat  I am still sat behind the settee     x",1
"205",207,815719432,"male","And that I m apparently in a contract despite the whole spiel about no contracts when I got my phone",3
"206",208,815719433,"brand","Join us for the day at the  JFNAGA on Mon 119  Return transport to Washington D C  Reserve your place at https t coL2NIsXweYL  PHILLYga",1
"207",209,815719434,"male","The One You Fall In Love With You Should Feel Like Nothin Else Matters    Fr",3
"208",210,815719435,"brand","Gala Bingo clubs bought for   241m  The UK s largest High Street bingo operator  Gala  is    https t coXzzqL9wNL7 https t coCdtBn0hjMi",1
"209",211,815719436,"brand","Lana  s back in the swing of things  REJECTED Bachelor star Lana Jeavons Fellows is living up her single life     https t cogtT2FkO6cP",1
"210",212,815719437,"brand","The power of 3D printing to save lives  https t coRZfvBfg9FW",1
"211",213,815719438,"female","The  fate of Europe  s net neutrality will be decided tomorrow https t cozgqa8d49qX https t co5Qk8zDNPQq",2
"212",214,815719439,"female","got the job",2
"213",215,815719440,"male","Selling the  Recruiting Process Isn  t a Gamble   https t coQbsl8ix3dy  HR  TheCandEs  TChat  HRTechConf",3
"214",216,815719441,"female","I just bought tickets for Post War Glamour Girls  at The Cookie  Leicester from https t coBP7THGHF37  https t coefU07V6cN3 via",2
"215",217,815719442,"female","The likeness of your face is purely disgusting  I mean  honestly  Look at yourself in the mirror for mor",2
"216",218,815719443,"female","The Role of the Hippocampus in Long term Memory https t coSRCXtbYrMC",2
"217",219,815719444,"male","Stats for the day have arrived  1 new unfollower  Stats via https t coDzu9HX59Yb",3
"218",220,815719445,"male","October and the Apostrophe https t coMhng687f9w  publishing  authors",3
"219",221,815719446,"male","720p option is the best",3
"220",222,815719447,"female","ArtistOfTheYear   AMAs   From all the four albums we heard MM is my fav but it could be changed rly fast when I hear the fift",2
"221",223,815719448,"male","Fantastic launch by  All apps now run smoothly on OnePlus One thanks to the quad core processor  https t co2yMa7R3PcU 4742",3
"223",225,815719450,"male","7 new unfollowers and 5 new followers  hello  hello   in the last week  Via https t coWL2CRq09dV",3
"224",226,815719451,"male","Except for a couple of broken plays  the Jets did a really good job countering what New England does well on O and exploiting D weaknesses",3
"225",227,815719452,"male","Look at Ken Barlow putting it on Audrey Roberts the old rascal",3
"226",228,815719453,"female","the fact is that I don t needwant anyone",2
"227",229,815719454,"brand","Wickenburg man arrested on suspicion of bestiality  Sheriff  s officials said the suspect offered an undercover    https t co9XszaMjGik",1
"228",230,815719455,"male","Be In The Lookout                 https t codfZqv6Kjbh",3
"229",231,815719456,"female","you know there is a squirrel emoji  Oh wait your not part of the iPhone family",2
"230",232,815719457,"female","NO WAY  You re going to be the opening act  aren t you",2
"231",233,815719458,"male","Im hyped bc im so excited for the new season play offs  And who s team will win and who ll be the star      ThisIsWhyWePlay  Sweepstakes",3
"232",234,815719459,"brand","The best of times  the worst of times for Marianas Trench singer  Marianas Trench singer and songwriter Josh Ramsay    https t co0GOYfEREpC",1
"233",235,815719460,"female","Photo  The chronicles of Emerland  Solitaire  Games Adventure Mac App        4       https t coxCJnfYaPvw https t cojRlgh3fNSg",2
"234",236,815719461,"brand","Looney For Looms Knitting Patterns  Loom Patterns For Sweaters For The Baby  Toddler  amp  Small Dog  There Are    https t coXjQoPSopb7",1
"235",237,815719462,"brand","Inc  What the Nation Will Be Talking About After Wednesday s GOP Debates https t covUtBj2urPf",1
"236",238,815719463,"male","Hey guys I ve decided I ll be on maybe for 20 minutes the most each day",3
"237",239,815719464,"male","I was super hooked on the Woodland Tortuary talk",3
"238",240,815719465,"female","Coming in here with the worst attitude while I m trying to help them",2
"239",241,815719466,"male","Hot of the presses  https t cofZK5fjSWEJ",3
"240",242,815719467,"male","any update when you can use the site again",3
"241",243,815719468,"brand","Gala Bingo clubs bought for   241m  The UK s largest High Street bingo operator  Gala  is being taken over by    https t coLaRDoMBRXT",1
"242",244,815719469,"male","Thanks  for the shout out  I  m looking pretty good for 75   FamousName https t coUMrFosWY0u",3
"244",246,815719471,"female","also where are all of steven s interviews  emily did about 7 million after beth died  amp  so did all the other actors afterwards so",2
"245",247,815719472,"female","happy birthday Beth   Hope you had the best day",2
"246",248,815719473,"female","This is still the sweetest thing ever to me  And you two made my night  https t coNms52Uverj",2
"247",249,815719474,"female","I like the purple but you seem more of a green person",2
"248",250,815719475,"brand","What the  TPIY left Rise to go to Stay Sick Records    I m so late  but what",1
"249",251,815719476,"brand","Attorney  Woman arrested for crashing into homecoming crowd is mentally ill  The attorney for the woman who crashed    https t coNa00EhG4fs",1
"250",252,815719477,"male","i am fairly normal for someone who could ve died the other night tho",3
"251",253,815719478,"brand","The Decisions We Make Today Will Shape Tomorrow https t cobXP2LWiuPU https t coeoiy0nDEDu",1
"252",254,815719479,"female","people saying nice things about this game in particular makes me feel like maybe i m doing the right thing after all https t co9ZrbUY19FY",2
"254",256,815719481,"female","at a kid s party and we were the ones getting fun out of the balloons  we can never take any    https t co0mtdf9CmGr",2
"255",257,815719482,"brand","Gala Bingo clubs bought for   241m  The UK s largest High Street bingo operator  Gala  is being taken over by    https t coR1ox8UuWPM",1
"256",258,815719483,"female","Now   you re already have the one   Appreciate him as well",2
"257",259,815719484,"brand","https t copYc0uzbOA0  gt  gt  Toronto Maple Leafs  Polak Holding Back The Defense https t coCp1OgRPaAM",1
"258",260,815719485,"brand","Keylor Navas isn t a superstar and Real Madrid want one in goal  says top Spanish journalist https t co406P6p7l7i https t co72fr6A41Yx",1
"259",261,815719486,"male","Via Jewish Voice for Peace   Analysis of  racist  blame the victim  arguments which  dehumanize Palestinians and    https t cofTKu2RMQN1",3
"260",262,815719487,"female","Congrats    Enjoy the GC and new phone       TreatYourFamily",2
"261",263,815719488,"male","If the game tonight can hit 39 total points or more  11  5 scratch offs will be coming my way",3
"262",264,815719489,"male","Gala Bingo clubs bought for   241m  The UK s largest High Street bingo operator  Gala  is being taken over by    https t coT7UOjvQqjT",3
"263",265,815719490,"male","daily caller always wins the contest to most quickly take my joking tweets entirely too seriously",3
"264",266,815719491,"male","Artist of the Year  AMAs https t coDsjN39Gzs1",3
"265",267,815719492,"female","isn t she the one that hated on a dude for wearing a suit",2
"266",268,815719493,"female","Remember when esteban was calling the dead but got put on hold https t coXJ1Tjd8d5z",2
"267",269,815719494,"brand","Artist of the year   AMAs https t cow1RaGU8XsJ",1
"268",270,815719495,"brand","Overall  good performance  clean sheet  better team in the 2nd half  solid result given the circumstances  happy not to LOSE the derby  mufc",1
"269",271,815719496,"male","1 more hour until  SPECTRE red bull at the ready  007",3
"270",272,815719497,"female","Do americans find it weird to eat fries with mayo cos we do it all the time",2
"271",273,815719498,"brand","This day in history  Today is Monday Oct 26 the 299th day of 2015 There are 66 days left in the yearTodayrsquos    https t coaPbwTetkxg",1
"272",274,815719499,"brand","Microsoft s Office Lens scanning app finally made the jump away from Windows Phone and onto other mobile    https t comhV8wE0mrr  Gaming",1
"273",275,815719500,"male","Thanks DJ Polish Sausage for the follow",3
